chat_message_id,chat_message_text,chat_session_id,created_by_user_id,created_date,modified_by_user_id,modified_date,status_id
1,can you hear us,2,10014,2017-04-05 15:16:25,10014,2017-04-05 15:16:25,1
2,NO,2,10167,2017-04-05 15:19:38,10167,2017-04-05 15:19:38,1
3,HELLO SIR,2,10167,2017-04-05 15:20:52,10167,2017-04-05 15:20:52,1
4,can you hear now?,2,10014,2017-04-05 15:21:55,10014,2017-04-05 15:21:55,1
5,NO,2,10167,2017-04-05 15:22:18,10167,2017-04-05 15:22:18,1
6,can you hear now?,2,10014,2017-04-05 15:22:21,10014,2017-04-05 15:22:21,1
7,NO,2,10167,2017-04-05 15:22:33,10167,2017-04-05 15:22:33,1
8,please check your side sir our audio is being transmited properly,2,10014,2017-04-05 15:24:25,10014,2017-04-05 15:24:25,1
9,there seems to be audio video problem sir is leaving now but please be online we will check what the problem is,2,10014,2017-04-05 15:46:38,10014,2017-04-05 15:46:38,1
10,please ask your technical person to be available i will login from another machine in 1 min,2,10014,2017-04-05 15:48:03,10014,2017-04-05 15:48:03,1
11,iam connecting your through teamviewr again,2,10014,2017-04-05 15:50:09,10014,2017-04-05 15:50:09,1
12,give your teamviewr password,2,10014,2017-04-05 15:51:22,10014,2017-04-05 15:51:22,1
13,238592083 & password 2953,2,10167,2017-04-05 15:52:09,10167,2017-04-05 15:52:09,1
14,error message here,2,10167,2017-04-05 16:10:11,10167,2017-04-05 16:10:11,1
15,what error,2,10014,2017-04-05 16:10:50,10014,2017-04-05 16:10:50,1
16,Cannot add or update a child row: a foreign key constraints fail,2,10167,2017-04-05 16:11:12,10167,2017-04-05 16:11:12,1
17,ya that came earlier in aview but are you able to record your own audio in your PC,2,10014,2017-04-05 16:11:51,10014,2017-04-05 16:11:51,1
18,sir not able to your side audio,2,10167,2017-04-05 16:12:51,10167,2017-04-05 16:12:51,1
19,sir all connection are properly connected,2,10167,2017-04-05 16:14:21,10167,2017-04-05 16:14:21,1
20,forget aview first record your audio in your PC and see if it is properly recorded and your are able hear it,2,10014,2017-04-05 16:16:55,10014,2017-04-05 16:16:55,1
21,"i was just testing with another center, there is no session now",4,10014,2017-04-05 16:24:55,10014,2017-04-05 16:24:55,1
22,can you hear us,5,10014,2017-04-28 14:00:14,10014,2017-04-28 14:00:14,1
23,please check your settings if you cant hear us,5,10014,2017-04-28 14:00:46,10014,2017-04-28 14:00:46,1
24,we are live and audible,5,10014,2017-04-28 14:00:53,10014,2017-04-28 14:00:53,1
25,if you cant hear us please check your settings,5,10014,2017-04-28 14:01:02,10014,2017-04-28 14:01:02,1
26,sir in your new version adobe air needs to update or not,7,10031,2017-05-17 10:47:42,10031,2017-05-17 10:47:42,1
27,cant hear you sir,8,10014,2017-07-11 15:34:57,10014,2017-07-11 15:34:57,1
28,what abt now sir,8,11414,2017-07-11 15:36:38,11414,2017-07-11 15:36:38,1
29,yes i can hear you,9,10014,2017-07-11 16:26:18,10014,2017-07-11 16:26:18,1
30,i am unable hear u r voice,9,11382,2017-07-11 16:26:41,11382,2017-07-11 16:26:41,1
31,have you connected any speakers or headphone mic,9,10014,2017-07-11 16:26:59,10014,2017-07-11 16:26:59,1
32,video is ok but its not audible,9,11382,2017-07-11 16:27:31,11382,2017-07-11 16:27:31,1
33,it is not audible,9,11382,2017-07-11 16:27:44,11382,2017-07-11 16:27:44,1
34,yes you are audible and visible,10,10014,2017-07-11 16:38:45,10014,2017-07-11 16:38:45,1
35,its ok,10,10014,2017-07-11 16:39:50,10014,2017-07-11 16:39:50,1
36,ok,10,10014,2017-07-11 16:40:02,10014,2017-07-11 16:40:02,1
37,ok fine,10,10014,2017-07-11 16:40:10,10014,2017-07-11 16:40:10,1
38,ok thank you,10,10014,2017-07-11 16:40:28,10014,2017-07-11 16:40:28,1
39,wait,11,10014,2017-07-11 16:53:46,10014,2017-07-11 16:53:46,1
