chat_session_id,owner_id,title,group_id,lecture_id,is_private_chat,created_by_user_id,modified_by_user_id,created_date,modified_date,status_id
1,10014,Testing Class Session chat,NULL,618,Y,10014,10014,2017-03-25 17:25:00,2017-03-25 17:25:00,1
2,10014,Testing Class Session chat,NULL,620,Y,10014,10014,2017-04-05 15:16:17,2017-04-05 15:16:17,1
3,10014,Testing Class Session chat,NULL,620,Y,10014,10014,2017-04-05 15:24:01,2017-04-05 15:24:01,1
4,10014,Testing Class Session chat,NULL,620,Y,10014,10014,2017-04-05 16:24:28,2017-04-05 16:24:28,1
5,10014,Testing Class Session chat,NULL,628,Y,10014,10014,2017-04-28 14:00:04,2017-04-28 14:00:04,1
6,10014,Testing Class Session chat,NULL,630,Y,10014,10014,2017-05-17 10:36:37,2017-05-17 10:36:37,1
7,10031,Testing Class Session chat,NULL,630,Y,10031,10031,2017-05-17 10:46:12,2017-05-17 10:46:12,1
8,10014,Testing Class Session chat,NULL,638,Y,10014,10014,2017-07-11 15:34:50,2017-07-11 15:34:50,1
9,10014,Testing Class Session chat,NULL,638,Y,10014,10014,2017-07-11 16:26:11,2017-07-11 16:26:11,1
10,10014,Testing Class Session chat,NULL,638,Y,10014,10014,2017-07-11 16:38:35,2017-07-11 16:38:35,1
11,10014,Testing Class Session chat,NULL,638,Y,10014,10014,2017-07-11 16:53:33,2017-07-11 16:53:33,1
12,10014,Testing Class Session chat,NULL,638,Y,10014,10014,2017-07-11 17:08:03,2017-07-11 17:08:03,1
13,10014,Testing Class Session chat,NULL,640,Y,10014,10014,2017-07-19 14:54:18,2017-07-19 14:54:18,1
14,10014,Testing Class Session chat,NULL,641,Y,10014,10014,2017-07-20 15:49:24,2017-07-20 15:49:24,1
15,10014,Testing Class Session chat,NULL,643,Y,10014,10014,2017-08-16 10:25:15,2017-08-16 10:25:15,1
16,10014,Testing Class Session chat,NULL,643,Y,10014,10014,2017-08-16 11:01:14,2017-08-16 11:01:14,1
17,10014,Testing Class Session chat,NULL,643,Y,10014,10014,2017-08-16 11:02:34,2017-08-16 11:02:34,1
18,10014,Testing Class Session chat,NULL,643,Y,10014,10014,2017-08-16 11:08:13,2017-08-16 11:08:13,1
19,10014,Testing Class Session chat,NULL,643,Y,10014,10014,2017-08-16 11:09:54,2017-08-16 11:09:54,1
20,10014,Testing Class Session chat,NULL,643,Y,10014,10014,2017-08-16 11:23:05,2017-08-16 11:23:05,1
21,10014,Testing Class Session chat,NULL,643,Y,10014,10014,2017-08-16 12:13:42,2017-08-16 12:13:42,1
22,10014,Testing Class Session chat,NULL,643,Y,10014,10014,2017-08-16 12:17:58,2017-08-16 12:17:58,1
23,10014,Testing Class Session chat,NULL,643,Y,10014,10014,2017-08-16 12:32:15,2017-08-16 12:32:15,1
24,10014,Testing Class Session chat,NULL,643,Y,10014,10014,2017-08-16 12:33:43,2017-08-16 12:33:43,1
25,10014,Testing Class Session chat,NULL,643,Y,10014,10014,2017-08-16 16:05:49,2017-08-16 16:05:49,1
26,10014,Testing Class Session chat,NULL,643,Y,10014,10014,2017-08-16 16:09:19,2017-08-16 16:09:19,1
27,10014,Testing Class Session chat,NULL,643,Y,10014,10014,2017-08-16 16:10:31,2017-08-16 16:10:31,1
28,10014,Testing Class Session chat,NULL,643,Y,10014,10014,2017-08-16 16:13:20,2017-08-16 16:13:20,1
29,10014,Testing Class Session chat,NULL,643,Y,10014,10014,2017-08-16 16:55:29,2017-08-16 16:55:29,1
30,10014,Testing Class Session chat,NULL,644,Y,10014,10014,2017-08-17 10:29:27,2017-08-17 10:29:27,1
31,10014,Testing Class Session chat,NULL,644,Y,10014,10014,2017-08-17 10:34:27,2017-08-17 10:34:27,1
32,10014,Testing Class Session chat,NULL,644,Y,10014,10014,2017-08-17 11:05:01,2017-08-17 11:05:01,1
33,10014,Testing Class Session chat,NULL,644,Y,10014,10014,2017-08-17 11:43:31,2017-08-17 11:43:31,1
34,10014,Testing Class Session chat,NULL,644,Y,10014,10014,2017-08-17 12:04:24,2017-08-17 12:04:24,1
35,10014,Testing Class Session chat,NULL,644,Y,10014,10014,2017-08-17 16:02:21,2017-08-17 16:02:21,1
36,10014,Testing Class Session chat,NULL,644,Y,10014,10014,2017-08-17 16:43:13,2017-08-17 16:43:13,1
37,10014,Testing Class Session chat,NULL,652,Y,10014,10014,2017-08-18 14:30:55,2017-08-18 14:30:55,1
38,10014,Testing Class Session chat,NULL,652,Y,10014,10014,2017-08-18 14:35:14,2017-08-18 14:35:14,1
39,10014,Testing Class Session chat,NULL,652,Y,10014,10014,2017-08-18 14:41:40,2017-08-18 14:41:40,1
40,10014,Testing Class Session chat,NULL,652,Y,10014,10014,2017-08-18 14:56:07,2017-08-18 14:56:07,1
41,10014,Testing Class Session chat,NULL,652,Y,10014,10014,2017-08-18 14:57:49,2017-08-18 14:57:49,1
42,10014,Testing Class Session chat,NULL,652,Y,10014,10014,2017-08-18 15:09:19,2017-08-18 15:09:19,1
43,10014,Testing Class Session chat,NULL,652,Y,10014,10014,2017-08-18 15:43:21,2017-08-18 15:43:21,1
44,10051,FDP101x Intereactive Session Session chat,NULL,647,Y,10051,10051,2017-08-19 8:55:46,2017-08-19 8:55:46,1
45,10021,FDP101x Intereactive Session Session chat,NULL,647,Y,10021,10021,2017-08-19 9:04:07,2017-08-19 9:04:07,1
46,10021,FDP101x Intereactive Session Session chat,NULL,647,Y,10021,10021,2017-08-19 9:18:50,2017-08-19 9:18:50,1
47,10021,FDP101x Intereactive Session Session chat,NULL,647,Y,10021,10021,2017-08-19 9:38:30,2017-08-19 9:38:30,1
48,10286,FDP101x Intereactive Session Session chat,NULL,647,Y,10286,10286,2017-08-19 11:48:29,2017-08-19 11:48:29,1
49,10021,FDP101x Intereactive Session Session chat,NULL,650,Y,10021,10021,2017-08-20 9:10:17,2017-08-20 9:10:17,1
50,11395,M M Class 005 Session chat,NULL,660,Y,11395,11395,2017-08-25 9:49:51,2017-08-25 9:49:51,1
51,11395,M M Class 005 Session chat,NULL,660,Y,11395,11395,2017-08-25 11:03:09,2017-08-25 11:03:09,1
52,11395,M M Class 005 Session chat,NULL,660,Y,11395,11395,2017-08-25 11:04:43,2017-08-25 11:04:43,1
53,11415,M M Class 009 Session chat,NULL,676,Y,11415,11415,2017-08-25 12:29:18,2017-08-25 12:29:18,1
54,12598,M M Class 024 Session chat,NULL,771,Y,12598,12598,2017-08-25 17:56:35,2017-08-25 17:56:35,1
55,12723,M M Class 027 Session chat,NULL,778,Y,12723,12723,2017-08-26 9:00:51,2017-08-26 9:00:51,1
56,13517,Sunit Parmar_ Private chat,NULL,NULL,Y,13517,13517,2017-08-26 9:42:54,2017-08-26 9:42:54,1
57,13512,Ankita Chauhan_... Group chat,NULL,NULL,N,13512,13512,2017-08-26 11:15:21,2017-08-26 12:18:37,4
58,13512,Sunit Parmar_ Private chat,NULL,NULL,Y,13512,13512,2017-08-26 11:17:44,2017-08-26 11:17:44,1
59,13513,Ankita Chauhan_ Private chat,NULL,NULL,Y,13513,13513,2017-08-26 11:23:36,2017-08-26 11:23:36,1
60,13512,Ankita Chauhan_... Group chat,NULL,NULL,N,13512,13512,2017-08-26 11:23:37,2017-08-26 11:24:15,4
61,13512,Ankita Chauhan_... Group chat,NULL,NULL,N,13512,13512,2017-08-26 11:38:16,2017-08-26 13:36:40,4
