,client_id,path,sentence,up_votes,down_votes,age,gender,accent
24,6fb0483a6bdeca1fa824e5dbaa4fae0f737793f2389decd4a8283ed32d365bc93639c9d16e5ec3b346f02fbea8e77aee363907c801aa5e4bd20c927a0b335dd8,08e0326adb28d1f5fcbb060270cc45b552be912e51e037784e0d9b475015fa708151b6a61f321a2c99a6157444d3ff17367f17d948a7998c1a432601e35e348c,"Oh, it’s not such a big deal right away.",3,1,teens,female,indian
96,c9bdd135ff3eca2d96fb9ed35c3201949833072367f56cfcf96a77be8cab86c234ee79c9f7652f4cfde1bd6ed1c556c43989be4777c94aac8b0e8352b9032458,f0771a46afc460000d022f6a51521ea16d0264bc01e894b6218baf07e299acf3cce679657886eb87011f1327ebafcfa6d1105bd42f1a76b19532d6ff2f56c2ac,To go to the dogs.,2,1,thirties,male,indian
97,c9bdd135ff3eca2d96fb9ed35c3201949833072367f56cfcf96a77be8cab86c234ee79c9f7652f4cfde1bd6ed1c556c43989be4777c94aac8b0e8352b9032458,2cefd826406ca526e2f076b9a92b27b95b2ce112d5a7dd9151a9ed322e94d9af2c8b09d61771cdb5b0eaf01698a08f9b6d62095c2018effc65e119bdff67de63,The foot of the owner is the best manure for his land.,2,0,thirties,male,indian
117,d434839ce47306ca7de59f73f9552ea1e19d1b5d7cdd231ec5d6f32d54363e6d7b73be947c89f713c0081f319aaee9e8e0213b3b0bd487ce7bcaaf87dfc1ee72,d67d725515075fb0bc965851743d86c27f1fe89475d13dea3e55213f6811d5d345d4183c1e5dd8ad674b1a3faf1f7034f8d4be26cd6ba87896c1cf4d92d3e0bb,The one we pick has gotta be the typical average person.,2,1,twenties,male,indian
324,d506aa982b6ebe3281e8e92da124954271a311b5f9217e1ed5c5ee8da7664c3131541c1a6c3266ab203f1845e5e9dc9e39cb714fb1f673398a01af6129e61fa3,cbc07589cf2a5dd4ea0539cc08daa43e6b35759e79e9b999415640908363ca2fe4b0e8cf0b79dec65ebc82aa5d59e9ae871fa15624bf5d21ed711d4dfd9082c8,This crazy llama spit in my face.,2,1,twenties,male,indian
543,c8d19dcd7a14274a40eee7e04875cb467b6cc6c202503c27d807ff0b7088c5766df7413ee990c6c1d6d05e81b9d2b4e895aebbe6ac930b9dfa173825f43327c4,57794c73278a99af6673436d4c29daed9e9dbcaccfa3667c9250052b1c7dc2707584ac762e0612564cf43c7cd2e5b015f5fa38d436035ddc3e0c8c4da9b9a233,Dig deep in the earth for pirate's gold.,2,0,twenties,male,indian
548,d292bd32d89b6dbc5aee43d218866e2af2fb6a4bea2f56d4512d9b4a59d47bee57a0ea08d07fdc7e9411c9089441fe2407d721b4258480bf3916613637d6d38a,b7a3ce1a3f66775c4ed80cf6c84ccf64654ceff27e4c36901193ee995837e15be76e352eabe31ddec19db8301c6ec09d428d3ce6473b8f020e4e036aea775245,There was no need.,2,0,teens,male,indian
580,fe005a742e41dca2f1af7e135a8d13b08498570145d3cf3c3e37f70e5353f07986f401f18e695a334ceb18de5a2f92f3b30da3d3ef9967e2cc5233440c4b0946,d686d36450be2d0037f0eab8e4933571062779c57f1a7e146c8b34091d05ead17727e02d032fa688ad67959c2c8d5639ce04480e768e4f12cac1a13ed7230d5d,Explanations are illogical and confusing.,2,0,twenties,male,indian
965,93cfcca76421b4ca4d96c712b1a1eb3ef225d5435a7acdec417004ab71b341892bbe2f494ba9c35b4e729b689ea1528266194d2a70492953f71047b3590feab4,faabdb8a2e3ee077794186264d33147b2b7edf2b11c1d1808142ea2975de61e2d24c2c1aedb1d847e3856ca8cd742133a81e2f797f51432f2fc73ac0280d1577,Long live the Emperor.,2,1,twenties,male,indian
984,b85471693e6c9d02ebe9259105d00ba0b2a2bcdbae6df218c6c8f145de08f9dd00520c71eeb5c4f228dc2cb2990202f0c38bae1985c77cea607b93a4a0d1de5d,f9cb1331ecd8e4a031a8dae1d6107ae027718fa813ab13a4c9ad2432d5e7bff304d8ec989fd59e66e3b84ba18ea92a81259215b66a1859e6fce989ff24c2411c,Theodore explained to us what a convolution filter is.,2,0,twenties,male,indian
1082,56e8c097fe630f67ca4092e266ff02e262dc4870bc0599586a40cbe0e7e885460f339b85f6ba06782672827cf049ca1b1b95004080c61de5bea64e237c448400,2327960a340dee9867f6379424b742720872c991a08f7205797fb93ca635fa9ee45284bec70e4050221d919e435a0419dd49a070cd5657cd830fa533ec3014a2,"book spot for darlene, lauren gray and sasha in Oregon that serves brasserie",2,1,twenties,male,indian
1167,d37a9832cd2ce50b0e47107fb3125eb180f08868887619d15f10ae10ffc2a77fe3fc6e5e8325b7f618efe8d6eb08343f1c4ace94a37225f5abd03dbeee9b88be,74b6fbcdca8463d3c48ca9b84e051af62fd3d1d1c2b1fb57749d871b95ad885eea200ee6c68f23f0034f9529c52122af3553d5b53950011163c051e6f1905d2c,In colloquial language the term Yankee is used for U.S. citizens.,2,0,twenties,male,indian
1411,5f7ebb91d9d90596312e07edba60dff8a21a805b2fc0e7fdfe91b7d90e48b2914a2fefcb1149b53c996f3a550a587dff9e5fd5cd23651ef37239185ebff9d8a2,12cab5786a9153142c47833419db953358f67c465147449f22652627454c1f91e2d8325c1c442e1847c70aaaadd2ff95d5ccb99f523379753cf4610d1d9009bd,A maser is a microwave amplification by stimulated emission of radiation.,2,0,twenties,male,indian
1432,7f9a5ff274b19e487576f9b88ec3c7808410b1ccd5e2c960710cff8ed827a8748f2d897ec6019bca66259d5855532f1073a593e51111ac53642372841bfa5c69,59b6dca926c1cdbf6e99352068b4847a0a2fae8021ae4f40f7c1290db7b152393ee02fa5afe07e52100a37264b4dcd357f0e6ea376b4b0dc22905cd7bf6843c7,A short sleep taken about mid-day.,2,0,fourties,male,indian
1601,9134c57bdc713c2f307b97aae06a87c56d61d4ca1a12b02f06bdb9badf40b090cdf9e465e1971a8a3f348b9ff43e07821d116cb92e86fb30541d2d57771aba7d,aaeea9ffded803d68701ecaa675b00e349dce08b46726ea65a1d2e83eedfa7bf1d738ce7f0640f22a6ce32eb6af154bc7bc2e613f8e7b77e3f44f3f5518fbc15,A man with a gun watches as another man works on a car.,2,1,twenties,male,indian
1602,9134c57bdc713c2f307b97aae06a87c56d61d4ca1a12b02f06bdb9badf40b090cdf9e465e1971a8a3f348b9ff43e07821d116cb92e86fb30541d2d57771aba7d,57a9a4067b4616ebebf5662fa1b433abf9e74a5a37b191e30c54eeb154e9845c969326a2fcc76fc7f5b2e6bd9c8d76aed7de68b9eb2309c67b7484fc387cf048,A girl leaping through the air at the beach.,2,0,twenties,male,indian
1603,9134c57bdc713c2f307b97aae06a87c56d61d4ca1a12b02f06bdb9badf40b090cdf9e465e1971a8a3f348b9ff43e07821d116cb92e86fb30541d2d57771aba7d,e1c17c71f38617f490b91299270d98da29c8d0566d4ee53cf16cd05bcda56b39efb5c6b777b0e458a7eb255b84d323f2eaf343b080da9ed203b2d6b3b4e37f65,A man and woman hold a string near the ground while another woman watches.,2,0,twenties,male,indian
1604,9134c57bdc713c2f307b97aae06a87c56d61d4ca1a12b02f06bdb9badf40b090cdf9e465e1971a8a3f348b9ff43e07821d116cb92e86fb30541d2d57771aba7d,8fdca4abddf4c3ed4cad1fcab4ef90aa984a0deda21e000363572492b6c7bd892eb3c114344f37e2d56c99a8e1455950e950a9cf9d6c7dae2f61e4111c4a8b7e,This is when daddy taught her how to ride her scooter.,2,1,twenties,male,indian
1605,9134c57bdc713c2f307b97aae06a87c56d61d4ca1a12b02f06bdb9badf40b090cdf9e465e1971a8a3f348b9ff43e07821d116cb92e86fb30541d2d57771aba7d,599565418898e1042b30aed2887be933098b5515c247e3b31a0a004b4078a1c96d302bc0f9043a4c13b722ae7679ed19d8b2afa2a631a9d89b8b641dc767fba2,A black man and a motorbike.,2,1,twenties,male,indian
