,date,time,x-pid,x-status,x-ctx,x-comment,new,hello
1,2017-10-28,07:39:11,10124,(s)2641173,<07:39:11:992>,USER,[online_directory]:,"client connected. name:mitump1096 id:4702111234508538223,182.73.164.133"
2,2017-10-28,07:39:12,10124,(s)2641173,<07:39:12:068>,USER,"[setValue:users_so,mitump1096]:",Set shared object property
3,2017-10-28,07:39:14,10124,(s)2641173,<07:39:14:056>,USER,"[setValue:users_so,mitump1096]:",Set shared object property
4,2017-10-28,07:47:36,10124,(s)2641173,<07:47:36:264>,USER,"[poll:4702111234508538223,182.73.164.133,mitump1096]:",Polled from client. Printed only once in 100 polls.
5,2017-10-28,07:55:59,10124,(s)2641173,<07:55:59:413>,USER,"[poll:4702111234508538223,182.73.164.133,mitump1096]:",Polled from client. Printed only once in 100 polls.
6,2017-10-28,08:04:23,10124,(s)2641173,<08:04:23:562>,USER,"[poll:4702111234508538223,182.73.164.133,mitump1096]:",Polled from client. Printed only once in 100 polls.
7,2017-10-28,08:12:46,10124,(s)2641173,<08:12:46:996>,USER,"[poll:4702111234508538223,182.73.164.133,mitump1096]:",Polled from client. Printed only once in 100 polls.
8,2017-10-28,08:21:09,10124,(s)2641173,<08:21:09:575>,USER,"[poll:4702111234508538223,182.73.164.133,mitump1096]:",Polled from client. Printed only once in 100 polls.
9,2017-10-28,08:29:32,10124,(s)2641173,<08:29:32:293>,USER,"[poll:4702111234508538223,182.73.164.133,mitump1096]:",Polled from client. Printed only once in 100 polls.
10,2017-10-28,08:33:28,10124,(s)2641173,<08:33:28:990>,USER,"[disconnectPreviousConnections, Name:gituk1210: NewId:4702111234542092655: retryCounter:0: NewIP:122.252.231.138: NewMacAddress:00-50-56-C0-00-08]:",Entered Function Current number of clients:1
11,2017-10-28,08:33:28,10124,(s)2641173,<08:33:28:991>,USER,[online_directory]:,"client connected. name:gituk1210 id:4702111234542092655,122.252.231.138"
12,2017-10-28,08:33:29,10124,(s)2641173,<08:33:29:075>,USER,"[setValue:users_so,gituk1210]:",Set shared object property
13,2017-10-28,08:34:45,10124,(s)2641173,<08:34:45:692>,USER,"[disconnectPreviousConnections, Name:fistmk1077: NewId:4702111234575647087: retryCounter:0: NewIP:202.88.252.51: NewMacAddress:38-60-77-87-25-1F]:",Entered Function Current number of clients:2
14,2017-10-28,08:34:45,10124,(s)2641173,<08:34:45:693>,USER,[online_directory]:,"client connected. name:fistmk1077 id:4702111234575647087,202.88.252.51"
15,2017-10-28,08:34:45,10124,(s)2641173,<08:34:45:776>,USER,"[setValue:users_so,fistmk1077]:",Set shared object property
16,2017-10-28,08:35:25,10124,(s)2641173,<08:35:25:093>,USER,"[setValue:users_so,fistmk1077]:",Set shared object property
17,2017-10-28,08:37:20,10124,(s)2641173,<08:37:20:362>,USER,[online_directory]:,OnDisconnect:fistmk1077
18,2017-10-28,08:37:55,10124,(s)2641173,<08:37:55:394>,USER,"[poll:4702111234508538223,182.73.164.133,mitump1096]:",Polled from client. Printed only once in 100 polls.
19,2017-10-28,08:38:12,10124,(s)2641173,<08:38:12:684>,USER,"[disconnectPreviousConnections, Name:fistmk1077: NewId:4702111234609201519: retryCounter:0: NewIP:202.88.252.51: NewMacAddress:38-60-77-87-25-1F]:",Entered Function Current number of clients:2
20,2017-10-28,08:38:12,10124,(s)2641173,<08:38:12:685>,USER,[online_directory]:,"client connected. name:fistmk1077 id:4702111234609201519,202.88.252.51"
21,2017-10-28,08:38:12,10124,(s)2641173,<08:38:12:759>,USER,"[setValue:users_so,fistmk1077]:",Set shared object property
